Resource.Property,Property Type,Optional/Required,Generator,Sample Data
Policy.policy_id,String,Required,"IDGEN.get(""P-"")","""P-"" + Incremental 1- 65 million"
Policy.name,String,Required,fake.bs(),Smith
Policy.effectiveDate,date,Required,"fake.past_datetime()",0
Policy.expirationDate,date,Required,"fake.past_datetime() - datetime.timedelta(365*20)",0
Policy.statusCode,String,Required,"fake.random_element(('10','20','30','40','50','1011','2011'))",0
Policy.version,String,Optional,"1.0",Sam
Policy.isActive,String,Optional,"""true""",True
Policy.premium,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.holder.firstName,String,Optional,fake.first_name(),Elijah
Policy.holder.lastName,String,Optional,fake.last_name(),Dolittle
Policy.holder.middleName,String,Optional,fake.first_name(),Elijah
Policy.holder.suffix,String,Optional,fake.suffix(),esq
Policy.holder.member_id,String,Optional,"IDGEN.random_value(""M-"",2000000,10000)","M-1010"
Policy.holder.Address().name,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer, Old"
Policy.holder.Address().addressLine1,String,Optional,fake.street_address(),0
Policy.holder.Address().addressLine2,String,Optional,fake.secondary_address(),0
Policy.holder.Address().city,String,Optional,fake.city(),0
Policy.holder.Address().state,String,Optional,fake.state_abbr(),0
Policy.holder.Address().postalCode,String,Optional,fake.postcode(),0
Policy.holder.Address().country,String,Optional,fake.country(),0
Policy.holder.Address().type,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer"
Policy.holder.Address().effectiveDate,date,Optional,fake.past_datetime(),0
Policy.holder.Address().endDate,date,Optional,"fake.future_datetime(end_date=""+3y"")",0
Policy.insurableAssets().asset_id,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.insurableAssets().category,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.insurableAssets().type,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.insurableAssets().value,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.insurableAssets().created_at,double,Optional,"fake.past_datetime(end_date=""-90d"")",0
Policy.insurableAssets().updated_at,double,Optional,"fake.past_datetime(end_date=""-30d"")",0
Policy.insurableAssets().coverageType,double,Optional,"fake.random_element(("Comperehensive","Limited","Liability-only","Umbrella",))",0
Policy.coverage(20).coverage_id,String,Optional,"fake.random_int(min=40, max=1000)",0
Policy.coverage(20).assset_id,String,Optional,"fake.random_int(min=40, max=1000)",0
Policy.coverage(20).category,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.coverage(20).type,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.coverage(20).value,double,Optional,"fake.random_int(min=40, max=1000)",0
Policy.coverage(20).created_at,double,Optional,"fake.past_datetime(end_date=""-90d"")",0
Policy.coverage(20).updated_at,double,Optional,"fake.past_datetime(end_date=""-30d"")",0
Policy.coverage(20).coverageType,double,Optional,"fake.random_element(("Comperehensive","Limited","Liability-only","Umbrella",))",0
